long,lat,group,order,region,value
-87.462005615234375,30.389680862426758,1,1,alabama,50810
-87.48493194580078,30.37249183654785,1,2,alabama,50810
-87.52503204345703,30.37249183654785,1,3,alabama,50810
-87.53076171875,30.332386016845703,1,4,alabama,50810
-87.57086944580078,30.3266544342041,1,5,alabama,50810
-87.58805847167969,30.3266544342041,1,6,alabama,50810
-87.59378814697266,30.309467315673828,1,7,alabama,50810
-87.59378814697266,30.286548614501953,1,8,alabama,50810
-87.67400360107422,30.275089263916016,1,9,alabama,50810
-87.81151580810547,30.257902145385742,1,10,alabama,50810
-87.88026428222656,30.246440887451172,1,11,alabama,50810
-87.92037200927734,30.246440887451172,1,12,alabama,50810
-87.95475006103516,30.246440887451172,1,13,alabama,50810
-88.006317138671875,30.240713119506836,1,14,alabama,50810
-88.01777648925781,30.25217056274414,1,15,alabama,50810
-88.01204681396484,30.269359588623047,1,16,alabama,50810
-87.99485778808594,30.275089263916016,1,17,alabama,50810
-87.95475006103516,30.275089263916016,1,18,alabama,50810
-87.90318298339844,30.280820846557617,1,19,alabama,50810
-87.82869720458984,30.286548614501953,1,20,alabama,50810
-87.80005645751953,30.286548614501953,1,21,alabama,50810
-87.80005645751953,30.3266544342041,1,22,alabama,50810
-87.8172378540039,30.34384536743164,1,23,alabama,50810
-87.84015655517578,30.383953094482422,1,24,alabama,50810
-87.85162353515625,30.401142120361328,1,25,alabama,50810
-87.8745346069336,30.412599563598633,1,26,alabama,50810
-87.90318298339844,30.424060821533203,1,27,alabama,50810
-87.92610168457031,30.446979522705078,1,28,alabama,50810
-87.93183135986328,30.492813110351562,1,29,alabama,50810
-87.94329071044922,30.527193069458008,1,30,alabama,50810
-87.92037200927734,30.561569213867188,1,31,alabama,50810
-87.914642333984375,30.584487915039062,1,32,alabama,50810
-87.92610168457031,30.618864059448242,1,33,alabama,50810
-87.92037200927734,30.67043113708496,1,34,alabama,50810
-87.94902038574219,30.699077606201172,1,35,alabama,50810
-87.98912811279297,30.790752410888672,1,36,alabama,50810
-88.006317138671875,30.79648208618164,1,37,alabama,50810
-88.01777648925781,30.802209854125977,1,38,alabama,50810
-88.03496551513672,30.790752410888672,1,39,alabama,50810
-88.04642486572266,30.756376266479492,1,40,alabama,50810
-88.052154541015625,30.727725982666016,1,41,alabama,50810
-88.052154541015625,30.710538864135742,1,42,alabama,50810
-88.06360626220703,30.687620162963867,1,43,alabama,50810
-88.06934356689453,30.681888580322266,1,44,alabama,50810
-88.08080291748047,30.630325317382812,1,45,alabama,50810
-88.08080291748047,30.613136291503906,1,46,alabama,50810
-88.097991943359375,30.607406616210938,1,47,alabama,50810
-88.10944366455078,30.595945358276367,1,48,alabama,50810
-88.11518096923828,30.584487915039062,1,49,alabama,50810
-88.10944366455078,30.555837631225586,1,50,alabama,50810
-88.12091064453125,30.481355667114258,1,51,alabama,50810
-88.12091064453125,30.441247940063477,1,52,alabama,50810
-88.12664031982422,30.389680862426758,1,53,alabama,50810
-88.13236999511719,30.361034393310547,1,54,alabama,50810
-88.143829345703125,30.34384536743164,1,55,alabama,50810
-88.16101837158203,30.338115692138672,1,56,alabama,50810
-88.17247772216797,30.338115692138672,1,57,alabama,50810
-88.18965911865234,30.355304718017578,1,58,alabama,50810
-88.22404479980469,30.378223419189453,1,59,alabama,50810
-88.2354965209961,30.395410537719727,1,60,alabama,50810
-88.28706359863281,30.401142120361328,1,61,alabama,50810
-88.31571197509766,30.401142120361328,1,62,alabama,50810
-88.33290100097656,30.401142120361328,1,63,alabama,50810
-88.35009765625,30.424060821533203,1,64,alabama,50810
-88.39020538330078,30.412599563598633,1,65,alabama,50810
-88.40738677978516,30.733457565307617,1,66,alabama,50810
-88.4188461303711,30.99701690673828,1,67,alabama,50810
-88.43030548095703,31.12306785583496,1,68,alabama,50810
-88.4532241821289,31.432466506958008,1,69,alabama,50810
-88.46468353271484,31.696025848388672,1,70,alabama,50810
-88.47614288330078,31.89082908630371,1,71,alabama,50810
-88.43030548095703,32.22314453125,1,72,alabama,50810
-88.43030548095703,32.30908966064453,1,73,alabama,50810
-88.39020538330078,32.5783805847168,1,74,alabama,50810
-88.35009765625,32.92215347290039,1,75,alabama,50810
-88.33863067626953,32.98517990112305,1,76,alabama,50810
-88.29853057861328,33.283119201660156,1,77,alabama,50810
-88.275604248046875,33.52949142456055,1,78,alabama,50810
-88.25269317626953,33.735755920410156,1,79,alabama,50810
-88.20685577392578,34.062339782714844,1,80,alabama,50810
-88.20685577392578,34.07952880859375,1,81,alabama,50810
-88.1839370727539,34.3144416809082,1,82,alabama,50810
-88.166748046875,34.463409423828125,1,83,alabama,50810
-88.14955139160156,34.58373260498047,1,84,alabama,50810
-88.10944366455078,34.89885711669922,1,85,alabama,50810
-88.13236999511719,34.90459060668945,1,86,alabama,50810
-88.166748046875,34.9504280090332,1,87,alabama,50810
-88.18965911865234,34.99626541137695,1,88,alabama,50810
-88.1839370727539,35.013450622558594,1,89,alabama,50810
-87.98912811279297,35.013450622558594,1,90,alabama,50810
-87.6052474975586,35.007720947265625,1,91,alabama,50810
-87.22709655761719,35.001991271972656,1,92,alabama,50810
-87.20417022705078,35.001991271972656,1,93,alabama,50810
-86.8260269165039,34.99626541137695,1,94,alabama,50810
-86.78018951416016,34.99053192138672,1,95,alabama,50810
-86.31036376953125,34.99053192138672,1,96,alabama,50810
-85.85199737548828,34.98480224609375,1,97,alabama,50810
-85.6113510131836,34.97907257080078,1,98,alabama,50810
-85.58843994140625,34.8415641784668,1,99,alabama,50810
-85.5426025390625,34.61811065673828,1,100,alabama,50810
-85.52540588378906,34.58373260498047,1,101,alabama,50810
-85.4681167602539,34.262874603271484,1,102,alabama,50810
-85.428009033203125,34.07952880859375,1,103,alabama,50810
-85.40509033203125,33.95920944213867,1,104,alabama,50810
-85.39363098144531,33.90764236450195,1,105,alabama,50810
-85.34779357910156,33.66127014160156,1,106,alabama,50810
-85.31341552734375,33.49510955810547,1,107,alabama,50810
-85.29622650146484,33.432090759277344,1,108,alabama,50810
-85.244659423828125,33.11696243286133,1,109,alabama,50810
-85.23892974853516,33.105499267578125,1,110,alabama,50810
-85.1930923461914,32.87059020996094,1,111,alabama,50810
-85.1930923461914,32.859127044677734,1,112,alabama,50810
-85.17018127441406,32.841941833496094,1,113,alabama,50810
-85.14725494384766,32.790374755859375,1,114,alabama,50810
-85.13007354736328,32.7674560546875,1,115,alabama,50810
-85.13007354736328,32.750267028808594,1,116,alabama,50810
-85.12434387207031,32.73308181762695,1,117,alabama,50810
-85.1014175415039,32.67578125,1,118,alabama,50810
-85.1014175415039,32.63567352294922,1,119,alabama,50810
-85.0670394897461,32.60702896118164,1,120,alabama,50810
-85.04985809326172,32.55546188354492,1,121,alabama,50810
-85.00975036621094,32.526817321777344,1,122,alabama,50810
