GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNI,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AJWME001,NAME_M,AJWMM001
G08006330,2014-2018,,,Colorado,8,,,,,,,,,,,,,,,,,,,,,,,,,,Salida School District R-32,6330,,,,"Salida School District R-32, Colorado",9766,"Salida School District R-32, Colorado",450
G08006360,2014-2018,,,Colorado,8,,,,,,,,,,,,,,,,,,,,,,,,,,Centennial School District R-1,6360,,,,"Centennial School District R-1, Colorado",1551,"Centennial School District R-1, Colorado",164
G08006390,2014-2018,,,Colorado,8,,,,,,,,,,,,,,,,,,,,,,,,,,Sanford School District 6J,6390,,,,"Sanford School District 6J, Colorado",1629,"Sanford School District 6J, Colorado",204
G08006420,2014-2018,,,Colorado,8,,,,,,,,,,,,,,,,,,,,,,,,,,Sangre de Cristo School District RE-22J,6420,,,,"Sangre de Cristo School District RE-22J, Colorado",1347,"Sangre de Cristo School District RE-22J, Colorado",232
G08006450,2014-2018,,,Colorado,8,,,,,,,,,,,,,,,,,,,,,,,,,,Sargent School District RE-33J,6450,,,,"Sargent School District RE-33J, Colorado",1146,"Sargent School District RE-33J, Colorado",242
G08006480,2014-2018,,,Colorado,8,,,,,,,,,,,,,,,,,,,,,,,,,,Widefield School District 3,6480,,,,"Widefield School District 3, Colorado",56852,"Widefield School District 3, Colorado",1790
G08006510,2014-2018,,,Colorado,8,,,,,,,,,,,,,,,,,,,,,,,,,,Hi-Plains School District R-23,6510,,,,"Hi-Plains School District R-23, Colorado",416,"Hi-Plains School District R-23, Colorado",107
G08006540,2014-2018,,,Colorado,8,,,,,,,,,,,,,,,,,,,,,,,,,,Sheridan School District 2,6540,,,,"Sheridan School District 2, Colorado",7650,"Sheridan School District 2, Colorado",333
G08006570,2014-2018,,,Colorado,8,,,,,,,,,,,,,,,,,,,,,,,,,,Silverton School District 1,6570,,,,"Silverton School District 1, Colorado",544,"Silverton School District 1, Colorado",97
G08006600,2014-2018,,,Colorado,8,,,,,,,,,,,,,,,,,,,,,,,,,,Big Sandy School District 100J,6600,,,,"Big Sandy School District 100J, Colorado",1880,"Big Sandy School District 100J, Colorado",241
G08006630,2014-2018,,,Colorado,8,,,,,,,,,,,,,,,,,,,,,,,,,,Springfield School District RE-4,6630,,,,"Springfield School District RE-4, Colorado",1848,"Springfield School District RE-4, Colorado",117
G08006660,2014-2018,,,Colorado,8,,,,,,,,,,,,,,,,,,,,,,,,,,Steamboat Springs School District RE-2,6660,,,,"Steamboat Springs School District RE-2, Colorado",18818,"Steamboat Springs School District RE-2, Colorado",432
G08006690,2014-2018,,,Colorado,8,,,,,,,,,,,,,,,,,,,,,,,,,,Valley School District RE-1,6690,,,,"Valley School District RE-1, Colorado",18966,"Valley School District RE-1, Colorado",273
G08006720,2014-2018,,,Colorado,8,,,,,,,,,,,,,,,,,,,,,,,,,,Prairie School District RE-11,6720,,,,"Prairie School District RE-11, Colorado",398,"Prairie School District RE-11, Colorado",91
G08006750,2014-2018,,,Colorado,8,,,,,,,,,,,,,,,,,,,,,,,,,,Strasburg School District 31J,6750,,,,"Strasburg School District 31J, Colorado",5060,"Strasburg School District 31J, Colorado",487
G08006780,2014-2018,,,Colorado,8,,,,,,,,,,,,,,,,,,,,,,,,,,Stratton School District R-4,6780,,,,"Stratton School District R-4, Colorado",1042,"Stratton School District R-4, Colorado",121
G08006810,2014-2018,,,Colorado,8,,,,,,,,,,,,,,,,,,,,,,,,,,Summit School District RE-1,6810,,,,"Summit School District RE-1, Colorado",29866,"Summit School District RE-1, Colorado",624
G08006840,2014-2018,,,Colorado,8,,,,,,,,,,,,,,,,,,,,,,,,,,Swink School District 33,6840,,,,"Swink School District 33, Colorado",1397,"Swink School District 33, Colorado",231
G08006870,2014-2018,,,Colorado,8,,,,,,,,,,,,,,,,,,,,,,,,,,Telluride School District R-1,6870,,,,"Telluride School District R-1, Colorado",6130,"Telluride School District R-1, Colorado",198
G08006900,2014-2018,,,Colorado,8,,,,,,,,,,,,,,,,,,,,,,,,,,Northglenn-Thornton School District 12,6900,,,,"Northglenn-Thornton School District 12, Colorado",233750,"Northglenn-Thornton School District 12, Colorado",2145
G08006930,2014-2018,,,Colorado,8,,,,,,,,,,,,,,,,,,,,,,,,,,Plainview School District RE-2,6930,,,,"Plainview School District RE-2, Colorado",260,"Plainview School District RE-2, Colorado",72
G08006960,2014-2018,,,Colorado,8,,,,,,,,,,,,,,,,,,,,,,,,,,Trinidad School District 1,6960,,,,"Trinidad School District 1, Colorado",9612,"Trinidad School District 1, Colorado",338
G08006990,2014-2018,,,Colorado,8,,,,,,,,,,,,,,,,,,,,,,,,,,Vilas School District RE-5,6990,,,,"Vilas School District RE-5, Colorado",220,"Vilas School District RE-5, Colorado",66
G08007050,2014-2018,,,Colorado,8,,,,,,,,,,,,,,,,,,,,,,,,,,North Park School District R-1,7050,,,,"North Park School District R-1, Colorado",1296,"North Park School District R-1, Colorado",118
G08007080,2014-2018,,,Colorado,8,,,,,,,,,,,,,,,,,,,,,,,,,,Huerfano School District RE-1,7080,,,,"Huerfano School District RE-1, Colorado",5193,"Huerfano School District RE-1, Colorado",228
G08007110,2014-2018,,,Colorado,8,,,,,,,,,,,,,,,,,,,,,,,,,,Walsh School District RE-1,7110,,,,"Walsh School District RE-1, Colorado",1043,"Walsh School District RE-1, Colorado",96
G08007140,2014-2018,,,Colorado,8,,,,,,,,,,,,,,,,,,,,,,,,,,Weldon Valley School District RE-20J,7140,,,,"Weldon Valley School District RE-20J, Colorado",910,"Weldon Valley School District RE-20J, Colorado",162
G08007200,2014-2018,,,Colorado,8,,,,,,,,,,,,,,,,,,,,,,,,,,Custer County School District C-1,7200,,,,"Custer County School District C-1, Colorado",4282,"Custer County School District C-1, Colorado",188
G08007230,2014-2018,,,Colorado,8,,,,,,,,,,,,,,,,,,,,,,,,,,Westminster School District 50,7230,,,,"Westminster School District 50, Colorado",74300,"Westminster School District 50, Colorado",1434
G08007260,2014-2018,,,Colorado,8,,,,,,,,,,,,,,,,,,,,,,,,,,Primero Reorganized School District 2,7260,,,,"Primero Reorganized School District 2, Colorado",933,"Primero Reorganized School District 2, Colorado",160
G08007290,2014-2018,,,Colorado,8,,,,,,,,,,,,,,,,,,,,,,,,,,Wiggins School District RE-50J,7290,,,,"Wiggins School District RE-50J, Colorado",2815,"Wiggins School District RE-50J, Colorado",307
G08007320,2014-2018,,,Colorado,8,,,,,,,,,,,,,,,,,,,,,,,,,,Wiley School District RE-13-JT,7320,,,,"Wiley School District RE-13-JT, Colorado",867,"Wiley School District RE-13-JT, Colorado",161
G08007350,2014-2018,,,Colorado,8,,,,,,,,,,,,,,,,,,,,,,,,,,Windsor School District RE-4,7350,,,,"Windsor School District RE-4, Colorado",29517,"Windsor School District RE-4, Colorado",800
G08007380,2014-2018,,,Colorado,8,,,,,,,,,,,,,,,,,,,,,,,,,,Woodland Park School District RE-2,7380,,,,"Woodland Park School District RE-2, Colorado",19062,"Woodland Park School District RE-2, Colorado",641
G08007410,2014-2018,,,Colorado,8,,,,,,,,,,,,,,,,,,,,,,,,,,Woodlin School District R-104,7410,,,,"Woodlin School District R-104, Colorado",340,"Woodlin School District R-104, Colorado",74
G09000060,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Ansonia School District,60,,,,"Ansonia School District, Connecticut",18860,"Ansonia School District, Connecticut",52
G09000120,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Avon School District,120,,,,"Avon School District, Connecticut",18338,"Avon School District, Connecticut",27
G09000210,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Berlin School District,210,,,,"Berlin School District, Connecticut",20519,"Berlin School District, Connecticut",22
G09000270,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Bethel School District,270,,,,"Bethel School District, Connecticut",19551,"Bethel School District, Connecticut",32
G09000330,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Bloomfield School District,330,,,,"Bloomfield School District, Connecticut",20952,"Bloomfield School District, Connecticut",37
G09000360,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Bolton School District,360,,,,"Bolton School District, Connecticut",4928,"Bolton School District, Connecticut",21
G09000420,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Branford School District,420,,,,"Branford School District, Connecticut",28094,"Branford School District, Connecticut",28
G09000450,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Bridgeport School District,450,,,,"Bridgeport School District, Connecticut",146417,"Bridgeport School District, Connecticut",64
G09000510,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Bristol School District,510,,,,"Bristol School District, Connecticut",60308,"Bristol School District, Connecticut",42
G09000540,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Brookfield School District,540,,,,"Brookfield School District, Connecticut",17013,"Brookfield School District, Connecticut",42
G09000690,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Canton School District,690,,,,"Canton School District, Connecticut",10306,"Canton School District, Connecticut",21
G09000750,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Cheshire School District,750,,,,"Cheshire School District, Connecticut",29208,"Cheshire School District, Connecticut",45
G09000810,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Clinton School District,810,,,,"Clinton School District, Connecticut",12976,"Clinton School District, Connecticut",32
G09000840,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Colchester School District,840,,,,"Colchester School District, Connecticut",15927,"Colchester School District, Connecticut",20
G09000960,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Coventry School District,960,,,,"Coventry School District, Connecticut",12422,"Coventry School District, Connecticut",32
G09000990,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Cromwell School District,990,,,,"Cromwell School District, Connecticut",13973,"Cromwell School District, Connecticut",26
G09001020,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Danbury School District,1020,,,,"Danbury School District, Connecticut",84479,"Danbury School District, Connecticut",39
G09001050,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Darien School District,1050,,,,"Darien School District, Connecticut",21759,"Darien School District, Connecticut",45
G09001110,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Derby School District,1110,,,,"Derby School District, Connecticut",12596,"Derby School District, Connecticut",35
G09001170,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,East Granby School District,1170,,,,"East Granby School District, Connecticut",5256,"East Granby School District, Connecticut",148
G09001200,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,East Haddam School District,1200,,,,"East Haddam School District, Connecticut",9032,"East Haddam School District, Connecticut",20
G09001230,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,East Hampton School District,1230,,,,"East Hampton School District, Connecticut",12856,"East Hampton School District, Connecticut",26
G09001260,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,East Hartford School District,1260,,,,"East Hartford School District, Connecticut",50453,"East Hartford School District, Connecticut",48
G09001290,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,East Haven School District,1290,,,,"East Haven School District, Connecticut",28860,"East Haven School District, Connecticut",31
G09001320,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,East Lyme School District,1320,,,,"East Lyme School District, Connecticut",18766,"East Lyme School District, Connecticut",64
G09001350,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,East Windsor School District,1350,,,,"East Windsor School District, Connecticut",11379,"East Windsor School District, Connecticut",40
G09001440,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Ellington School District,1440,,,,"Ellington School District, Connecticut",16041,"Ellington School District, Connecticut",23
G09001470,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Enfield School District,1470,,,,"Enfield School District, Connecticut",44455,"Enfield School District, Connecticut",38
G09001530,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Fairfield School District,1530,,,,"Fairfield School District, Connecticut",61598,"Fairfield School District, Connecticut",37
G09001560,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Farmington School District,1560,,,,"Farmington School District, Connecticut",25546,"Farmington School District, Connecticut",27
G09001620,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Glastonbury School District,1620,,,,"Glastonbury School District, Connecticut",34578,"Glastonbury School District, Connecticut",34
G09001680,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Granby School District,1680,,,,"Granby School District, Connecticut",11305,"Granby School District, Connecticut",51
G09001710,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Greenwich School District,1710,,,,"Greenwich School District, Connecticut",62574,"Greenwich School District, Connecticut",41
G09001740,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Griswold School District,1740,,,,"Griswold School District, Connecticut",11693,"Griswold School District, Connecticut",29
G09001770,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Groton School District,1770,,,,"Groton School District, Connecticut",39105,"Groton School District, Connecticut",43
G09001800,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Guilford School District,1800,,,,"Guilford School District, Connecticut",22285,"Guilford School District, Connecticut",42
G09001860,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Hamden School District,1860,,,,"Hamden School District, Connecticut",61206,"Hamden School District, Connecticut",55
G09001920,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Hartford School District,1920,,,,"Hartford School District, Connecticut",123628,"Hartford School District, Connecticut",62
G09002070,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Killingly School District,2070,,,,"Killingly School District, Connecticut",17170,"Killingly School District, Connecticut",23
G09002130,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Lebanon School District,2130,,,,"Lebanon School District, Connecticut",7256,"Lebanon School District, Connecticut",40
G09002160,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Ledyard School District,2160,,,,"Ledyard School District, Connecticut",14850,"Ledyard School District, Connecticut",38
G09002220,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Litchfield School District,2220,,,,"Litchfield School District, Connecticut",8198,"Litchfield School District, Connecticut",23
G09002280,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Madison School District,2280,,,,"Madison School District, Connecticut",18183,"Madison School District, Connecticut",83
G09002310,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Manchester School District,2310,,,,"Manchester School District, Connecticut",57955,"Manchester School District, Connecticut",33
G09002400,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Meriden School District,2400,,,,"Meriden School District, Connecticut",59864,"Meriden School District, Connecticut",85
G09002490,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Middletown School District,2490,,,,"Middletown School District, Connecticut",46473,"Middletown School District, Connecticut",34
G09002520,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Milford School District,2520,,,,"Milford School District, Connecticut",54047,"Milford School District, Connecticut",34
G09002550,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Monroe School District,2550,,,,"Monroe School District, Connecticut",19621,"Monroe School District, Connecticut",33
G09002580,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Montville School District,2580,,,,"Montville School District, Connecticut",19094,"Montville School District, Connecticut",31
G09002640,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Naugatuck School District,2640,,,,"Naugatuck School District, Connecticut",31481,"Naugatuck School District, Connecticut",30
G09002670,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,New Britain School District,2670,,,,"New Britain School District, Connecticut",72839,"New Britain School District, Connecticut",42
G09002700,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,New Canaan School District,2700,,,,"New Canaan School District, Connecticut",20273,"New Canaan School District, Connecticut",22
G09002730,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,New Fairfield School District,2730,,,,"New Fairfield School District, Connecticut",13992,"New Fairfield School District, Connecticut",35
G09002790,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,New Haven School District,2790,,,,"New Haven School District, Connecticut",130529,"New Haven School District, Connecticut",108
G09002820,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,New London School District,2820,,,,"New London School District, Connecticut",27032,"New London School District, Connecticut",46
G09002850,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,New Milford School District,2850,,,,"New Milford School District, Connecticut",27196,"New Milford School District, Connecticut",30
G09002880,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Newington School District,2880,,,,"Newington School District, Connecticut",30323,"Newington School District, Connecticut",32
G09002910,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Newtown School District,2910,,,,"Newtown School District, Connecticut",27853,"Newtown School District, Connecticut",26
G09002970,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,North Branford School District,2970,,,,"North Branford School District, Connecticut",14208,"North Branford School District, Connecticut",25
G09003030,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,North Haven School District,3030,,,,"North Haven School District, Connecticut",23786,"North Haven School District, Connecticut",62
G09003060,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,North Stonington School District,3060,,,,"North Stonington School District, Connecticut",5242,"North Stonington School District, Connecticut",18
G09003090,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Norwalk School District,3090,,,,"Norwalk School District, Connecticut",88436,"Norwalk School District, Connecticut",62
G09003120,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Norwich School District,3120,,,,"Norwich School District, Connecticut",39567,"Norwich School District, Connecticut",43
G09003180,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Old Saybrook School District,3180,,,,"Old Saybrook School District, Connecticut",10118,"Old Saybrook School District, Connecticut",22
G09003240,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Oxford School District,3240,,,,"Oxford School District, Connecticut",13022,"Oxford School District, Connecticut",23
G09003270,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Plainfield School District,3270,,,,"Plainfield School District, Connecticut",15114,"Plainfield School District, Connecticut",26
G09003300,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Plainville School District,3300,,,,"Plainville School District, Connecticut",17720,"Plainville School District, Connecticut",22
G09003330,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Plymouth School District,3330,,,,"Plymouth School District, Connecticut",11782,"Plymouth School District, Connecticut",22
G09003390,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Portland School District,3390,,,,"Portland School District, Connecticut",9362,"Portland School District, Connecticut",23
G09003480,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Putnam School District,3480,,,,"Putnam School District, Connecticut",9360,"Putnam School District, Connecticut",21
G09003515,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Regional School District 06,3515,,,,"Regional School District 06, Connecticut",6623,"Regional School District 06, Connecticut",211
G09003520,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Regional School District 10,3520,,,,"Regional School District 10, Connecticut",15076,"Regional School District 10, Connecticut",45
G09003530,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Regional School District 12,3530,,,,"Regional School District 12, Connecticut",7281,"Regional School District 12, Connecticut",176
G09003535,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Regional School District 13,3535,,,,"Regional School District 13, Connecticut",11633,"Regional School District 13, Connecticut",20
G09003536,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Regional School District 14,3536,,,,"Regional School District 14, Connecticut",13069,"Regional School District 14, Connecticut",27
G09003537,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Regional School District 15,3537,,,,"Regional School District 15, Connecticut",27415,"Regional School District 15, Connecticut",40
G09003538,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Regional School District 16,3538,,,,"Regional School District 16, Connecticut",15851,"Regional School District 16, Connecticut",50
G09003539,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Regional School District 17,3539,,,,"Regional School District 17, Connecticut",14681,"Regional School District 17, Connecticut",40
G09003540,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Regional School District 18,3540,,,,"Regional School District 18, Connecticut",9900,"Regional School District 18, Connecticut",94
G09003810,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Ridgefield School District,3810,,,,"Ridgefield School District, Connecticut",25070,"Ridgefield School District, Connecticut",32
G09003840,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Rocky Hill School District,3840,,,,"Rocky Hill School District, Connecticut",20137,"Rocky Hill School District, Connecticut",29
G09003990,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Seymour School District,3990,,,,"Seymour School District, Connecticut",16522,"Seymour School District, Connecticut",36
G09004050,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Shelton School District,4050,,,,"Shelton School District, Connecticut",41155,"Shelton School District, Connecticut",38
G09004110,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Simsbury School District,4110,,,,"Simsbury School District, Connecticut",24519,"Simsbury School District, Connecticut",70
G09004140,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Somers School District,4140,,,,"Somers School District, Connecticut",11137,"Somers School District, Connecticut",35
G09004170,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,South Windsor School District,4170,,,,"South Windsor School District, Connecticut",25823,"South Windsor School District, Connecticut",34
G09004230,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Southington School District,4230,,,,"Southington School District, Connecticut",43763,"Southington School District, Connecticut",33
G09004290,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Stafford School District,4290,,,,"Stafford School District, Connecticut",11890,"Stafford School District, Connecticut",58
G09004320,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Stamford School District,4320,,,,"Stamford School District, Connecticut",129026,"Stamford School District, Connecticut",43
G09004380,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Stonington School District,4380,,,,"Stonington School District, Connecticut",18436,"Stonington School District, Connecticut",25
G09004440,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Stratford School District,4440,,,,"Stratford School District, Connecticut",52279,"Stratford School District, Connecticut",42
G09004470,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Suffield School District,4470,,,,"Suffield School District, Connecticut",15662,"Suffield School District, Connecticut",24
G09004500,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Thomaston School District,4500,,,,"Thomaston School District, Connecticut",7623,"Thomaston School District, Connecticut",19
G09004530,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Thompson School District,4530,,,,"Thompson School District, Connecticut",9343,"Thompson School District, Connecticut",31
G09004560,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Tolland School District,4560,,,,"Tolland School District, Connecticut",14766,"Tolland School District, Connecticut",23
G09004590,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Torrington School District,4590,,,,"Torrington School District, Connecticut",34737,"Torrington School District, Connecticut",29
G09004620,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Trumbull School District,4620,,,,"Trumbull School District, Connecticut",36174,"Trumbull School District, Connecticut",31
G09004680,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Vernon School District,4680,,,,"Vernon School District, Connecticut",29157,"Vernon School District, Connecticut",69
G09004740,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Wallingford School District,4740,,,,"Wallingford School District, Connecticut",44771,"Wallingford School District, Connecticut",35
G09004830,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Waterbury School District,4830,,,,"Waterbury School District, Connecticut",108672,"Waterbury School District, Connecticut",53
G09004860,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Waterford School District,4860,,,,"Waterford School District, Connecticut",19052,"Waterford School District, Connecticut",33
G09004890,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Watertown School District,4890,,,,"Watertown School District, Connecticut",21832,"Watertown School District, Connecticut",28
G09004920,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,West Hartford School District,4920,,,,"West Hartford School District, Connecticut",63127,"West Hartford School District, Connecticut",40
G09004950,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,West Haven School District,4950,,,,"West Haven School District, Connecticut",54918,"West Haven School District, Connecticut",54
G09004980,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Westbrook School District,4980,,,,"Westbrook School District, Connecticut",6904,"Westbrook School District, Connecticut",43
G09005010,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Weston School District,5010,,,,"Weston School District, Connecticut",10288,"Weston School District, Connecticut",44
G09005040,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Westport School District,5040,,,,"Westport School District, Connecticut",27840,"Westport School District, Connecticut",28
G09005070,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Wethersfield School District,5070,,,,"Wethersfield School District, Connecticut",26267,"Wethersfield School District, Connecticut",29
G09005130,2014-2018,,,Connecticut,9,,,,,,,,,,,,,,,,,,,,,,,,,,Wilton School District,5130,,,,"Wilton School District, Connecticut",18542,"Wilton School District, Connecticut",25
