county_sample
michigankent
minnesotaaitkin
californianevada
georgiaware
montanajudith basin
oklahomacotton
new mexicosandoval
arkansasmiller
texasmcculloch
north carolinadavie
north carolinatransylvania
minnesotafaribault
south carolinacalhoun
michigangladwin
washingtonokanogan
north carolinasurry
new yorkclinton
north carolinacolumbus
arkansascleburne
ohiomorrow
new yorknew york
illinoiscarroll
iowajackson
new yorkonondaga
michigangratiot
missourist louis city
massachusettssuffolk
nebraskasaunders
tennesseecarroll
south dakotaunion
utahbeaver
oregonlane
nebraskasheridan
indianatipton
missourilewis
iowagreene
michigangrand traverse
illinoismchenry
south carolinadillon
north carolinamacon
north carolinaunion
kansasbarton
oregonumatilla
pennsylvaniaclearfield
texashill
minnesotaolmsted
new yorklivingston
idahojerome
oregoncurry
coloradoboulder
